"line_size" "n" "get_order_1" "get_order_2"
4096 200 0.007 0.006
4096 500 0.019 0.016
4096 1000 0.042 0.034
4096 5000 0.348 0.215
4096 10000 0.848 0.467
4096 50000 6.089 2.773
4096 100000 14.423 5.698
4096 200000 31.814 11.492
4096 500000 89.4 30.522
4096 800000 169.858 50.854
4096 1000000 209.226 65.641
4096 200 0.007 0.006
4096 500 0.02 0.016
4096 1000 0.043 0.034
4096 5000 0.359 0.317
4096 10000 0.944 0.46
4096 50000 6.525 2.673
4096 100000 15.035 5.708
4096 200000 32.048 11.601
4096 500000 101.381 34.612
4096 800000 190.62 58.301
4096 1000000 208.287 64.174
4096 200 0.007 0.006
4096 500 0.02 0.016
4096 1000 0.042 0.034
4096 5000 0.352 0.213
4096 10000 0.909 0.502
4096 50000 6.567 2.776
4096 100000 14.195 5.641
4096 200000 31.257 11.644
4096 500000 88.993 31.006
4096 800000 157.72 50.006
4096 1000000 202.036 68.108
4096 200 0.007 0.006
4096 500 0.02 0.016
4096 1000 0.043 0.034
4096 5000 0.338 0.217
4096 10000 0.867 0.467
4096 50000 6.13 2.853
4096 100000 15.249 5.484
4096 200000 34.399 11.51
4096 500000 93.006 30.471
4096 800000 158.723 50.541
4096 1000000 210.292 64.266
4096 200 0.007 0.006
4096 500 0.019 0.016
4096 1000 0.042 0.034
4096 5000 0.379 0.247
4096 10000 0.841 0.462
4096 50000 5.865 2.733
4096 100000 14.961 5.64
4096 200000 32.01 11.445
4096 500000 89.135 30.832
4096 800000 161.31 50.413
4096 1000000 208.785 63.984
8192 200 0.008 0.006
8192 500 0.02 0.016
8192 1000 0.045 0.034
8192 5000 0.377 0.21
8192 10000 1.019 0.446
8192 50000 6.995 2.49
8192 100000 15.267 5.279
8192 200000 34.422 10.926
8192 500000 92.348 29.822
8192 800000 172.062 49.155
8192 1000000 247.734 64.441
8192 200 0.008 0.006
8192 500 0.02 0.04
8192 1000 0.047 0.048
8192 5000 0.371 0.212
8192 10000 0.917 0.472
8192 50000 6.538 2.606
8192 100000 14.56 11.448
8192 200000 32.964 11.141
8192 500000 95.454 60.431
8192 800000 185.403 49.541
8192 1000000 251.268 63.942
8192 200 0.008 0.006
8192 500 0.043 0.016
8192 1000 0.046 0.034
8192 5000 0.46 0.235
8192 10000 1.054 0.535
8192 50000 7.923 2.746
8192 100000 15.568 5.576
8192 200000 34.643 11.259
8192 500000 98.067 29.984
8192 800000 181.06 49.266
8192 1000000 238.035 65.63
8192 200 0.008 0.006
8192 500 0.061 0.033
8192 1000 0.086 0.055
8192 5000 0.414 0.276
8192 10000 0.975 0.444
8192 50000 7.718 2.75
8192 100000 15.761 5.361
8192 200000 35.14 11.043
8192 500000 95.298 29.437
8192 800000 172.271 49.18
8192 1000000 244.469 64.343
8192 200 0.008 0.007
8192 500 0.021 0.016
8192 1000 0.049 0.034
8192 5000 0.407 0.214
8192 10000 0.969 0.483
